word,category,definition,source language,etymology,tags,
a,pu,"(emphasis, emotion or confirmation)",onomatopoeia,,,
akesi,pu,"non-cute animal; reptile, amphibian",Dutch,hagedis ‘lizard’,,
ala,pu,"no, not, zero; [~ ala ~] (used to form a yes-no question); nothing",Georgian,არა ara ‘no’,,
alasa,pu,"to hunt, forage, seek | ALT (pv.) try to, attempt",Acadian French,"à la chasse ‘hunting, (lit.) on the hunt’",,
"ale, ali",pu,"all; abundant, countless, bountiful, every, plentiful; abundance, everything, life, universe; one hundred | ALT twenty; 100; 120",Dutch,alle ‘all’,pre-pu ALT,
alu,post-pu,(between the main sentence and the context phrase),toki pona,*al (la reversed),,
anpa,pu,"bowing down, downward, humble, lowly, dependent | ALT bottom, lower part, under, below, floor, beneath; low, lower, bottom, down",Acadian French,en bas ‘below’,pre-pu ALT,
ante,pu,"different, altered, changed, other",Dutch,"ander ‘other, different’",,
anu,pu,"or | ALT choose, decide",Georgian,ან an ‘or’,,
apeja,pre-pu,"shame, guilt",Finnish,"häpeä ‘shame, disgrace, dishonor’",,
awen,pu,"enduring, kept, protected, safe, waiting, staying; (pv.) to continue to, to keep",Dutch,"houden ‘keep, care for, hold (in a particular state)’",,
e,pu,(before the direct object),a priori,,,
en,pu,(between multiple subjects) | ALT (coordinates modifiers in a pi-phrase or objects of a prepostion),Dutch,en ‘and’,pre-pu ALT,
epiku,post-pu,{see sikomo},English,epic,,
esun,pu,"market, shop, fair, bazaar, business transaction",unknown,?Akan,,
ete,post-pu,"beyond, exceeding, outside of, more than",Turkish; Quenya,"öte ‘beyond, further, over’; ette ‘outside’",,
ijo,pu,"thing, phenomenon, object, matter",Esperanto,io ‘something’ ← Romance i- ‘(relative pronoun root)’,,
ike,pu,"bad, negative; non-essential, irrelevant | ALT complicated, complex",Finnish,"ilkeä ‘bad, mean, wicked’",pre-pu ALT,
iki,pre-pu,{see ona},unknown,,,
ilo,pu,"tool, implement, machine, device",Esperanto,"ilo ‘tool’ ← German -el ‘(agent suffix)’ {cf. Schlüssel ‘key’ ~
schließen ‘lock, shut’}
",,
insa,pu,"centre, content, inside, between; internal organ, stomach",Tok Pisin,"insait ‘inside, center, stomach’ ← English inside",,
ipi,pre-pu,(presented as an early alternative to iki) {see ona},unknown,,,
isipin,post-pu,"to think, to imagine, to believe",Tagalog,isipin ‘to think’,,
jaki,pu,"disgusting, obscene, sickly, toxic, unclean, unsanitary",English,yucky,,
jaku,post-pu,100 {see ale/ali},Japanese,百 hyaku ‘100’,,
jalan,pre-pu,"foot {see noka} | ALT walk, go by foot",Finnish, jalan ‘afoot’ (← jalka ‘foot’),,
jami,post-pu,eliciting or stimulating a positive sensory  experience {see suwi},English,yummy,,
jan,pu,"human being, person, somebody",Cantonese,"人 jan ‘person’
",,
jasima,post-pu,"reflect, resound, mirror, be on the opposite/polar end of",Turkish,"yansıtmak ‘to reflect, reverberate’
",,
je,post-pu,(indicating excitement),English,yay,,
jelo,pu,"yellow, yellowish",English,yellow,,
jo,pu,"to have, carry, contain, hold {see lon, poki, lanpan}",Mandarin,有 yǒu ‘have’,,
kala,pu,"fish, marine animal, sea creature",Finnish,kala ‘fish’,,
kalama,pu,"to produce a sound; recite, utter aloud",Serbo-Croatian,galama галама ‘noise of many human voices’,,
kama,pu,"arriving, coming, future, summoned; (pv.) to become, manage to, succeed in",Tok Pisin,"kamap ‘event, arrive, happen, become, bring about, summon’ ← English come up",,
kamalawala,post-pu,"anarchy, uprising, revolt, rebellion",toki pona,kama pi lawa ala,,
kan,pre-pu,"with, among {see poka}",multiple possibilities,Finnish kanssa ‘with’ or Esperanto kun ‘with’ (← Latin cum),,
kapa,pre-pu,"extrusion, protrusion, hill, mountain, button {see nena}",multiple possibilities,"Dutch kop ‘head, cup’ or Esperanto kapo ‘head’ (← Latin caput)",,
kapesi,pre-pu,"brown, gray",multiple possibilities,Georgian ყავისფერი q̇avisperi ‘brown’ or French/Spanish café ‘light brown’,,
kasi,pu,"plant, vegetation; herb, leaf",Finnish,kasvi ‘plant’,,
ke,post-pu,"(acknowledgment or acceptance) {see oke, n}",English,’kay ← okay (coined by jan Maliku & jan Kisi),,
ken,pu,"to be able to, be allowed to, can, may; possible",Tok Pisin,ken ← English can,,
kepeken,pu,"to use, with, by means of",Dutch,gebruiken ‘to use’,,
ki,post-pu,(relative clause marker),French,qui ‘who’,,
kijetesantakalu,pre-pu,"any animal from the Procyonidae
family, such as raccoons, coatis, kinkajous, olingos, ringtails and cacomistles",Finnish,kierteishäntäkarhu ‘kinkajou’ ← kierteis- ‘spiral’ + häntä ‘tail’ + karhu ‘bear’,word of Sonja,
kili,pu,"fruit, vegetable, mushroom {see soko}",Georgian,ხილი xili ‘fruit’,,
kin,pu,"{see a} | ALT indeed, too, also, as well",Finnish,"-kin ‘too, also, still’",pre-pu ALT,
kipisi,pre-pu,"split, cut, slice {see tu}",multiple possibilities,"Iñupiat kipriruk ‘cut’ or Swahili kipisi ‘sliver, small piece of wood’",,
kiwen,pu,"hard object, metal, rock, stone",Finnish,"kiven, genitive of kivi ‘stone’",,
ko,pu,"clay, clinging form, dough, semi-solid, paste, powder",Cantonese,"膏 gou ‘cream, paste’",,
kokosila,post-pu,to speak a non-Toki Pona language in an environment where Toki Pona is more appropriate,Esperanto,"krokodilas ‘[present of krokodili] to speak among
Esperantists in a language besides Esperanto’ ← krokodilo ‘crocodile’",word of Sonja,
kon,pu,"air, breath; essence, spirit; hidden reality, unseen agent",Mandarin,"空氣 kōngqì ‘air, atmosphere, ambience, opinion’",,
ku,post-pu,interact with the Toki Pona Dictionary {see pu},a priori,,word of Sonja,
kule,pu,"colorful, pigmented, painted | ALT of or relating to the LGBT+ community",Acadian French,couleur ‘color’,,
kulu,post-pu,{shortened variant of kulupu}; six {particulary in senary base},toki pona,kulupu,,
kulupu,pu,"community, company, group, nation, society, tribe",Tongan,kulupu ← English group,,
kuntu,post-pu,"laughter, humor",toki pona,k.m.t.u ← kalama musi tan uta,,
kute,pu,"ear; to hear, listen; pay attention to, obey",Acadian French,écouter ‘listen’,,
